Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2020-03-23,6.29505729675293,6.55385370240851,4.944781758965754,5.123871902733172,3873888000
2020-03-30,6.075366973876953,6.8597272311037045,5.937873523633539,6.360565865480036,3548100000
2020-04-06,6.549619674682617,6.9307157982976015,6.300038986651755,6.357577227263221,2580412000
2020-04-13,7.281174659729004,7.447561471490552,6.401415984658597,6.489840096594623,2580244000
2020-04-20,7.213174343109131,7.310565710109802,6.653237525713637,7.1546403247866595,2444392000
2020-04-27,7.04355001449585,7.577084408490029,6.995227982233045,7.347679703079574,2019464000
2020-05-04,7.783822536468506,7.7900494994803156,6.996224073508609,6.996224073508609,1722864000
2020-05-11,8.459580421447754,8.46929404349256,7.56686929019114,7.77883823443987,3177944000
2020-05-18,8.99311637878418,9.059621877759398,8.648635700345327,8.72834196078616,3879148000
2020-05-25,8.842918395996094,9.148044744093413,7.967394376884027,9.123135947214386,3426824000
2020-06-01,8.887256622314453,8.963973636963795,8.62621828588183,8.800825033008497,2052664000
2020-06-08,8.903775215148926,9.469450392119494,8.657818822694534,8.848702717929935,2642964000
2020-06-15,9.231463432312012,9.414622606088821,8.71562789628313,8.786898713067487,2122592000
2020-06-22,9.125555992126465,9.611488315062703,9.095652742430946,9.270090108434617,2191104000
2020-06-29,9.581336975097656,9.706184029572597,8.871376890218217,9.14025995740916,1400844000
2020-07-06,10.445549011230469,10.620982643258161,9.681264520847229,9.710420598246301,2031396000
2020-07-13,10.168691635131836,10.757541508350679,9.754029137517767,10.560926455339235,2014984000
2020-07-20,10.161712646484375,10.568400438396585,9.745555856946444,10.241206217155305,1814132000
2020-07-27,10.580612182617188,10.731874707510553,10.176416836925931,10.199342631679977,1543236000
2020-08-03,11.163481712341309,11.467750174407499,10.680789025593905,10.697983609232434,1559812000
2020-08-10,11.526808738708496,11.684051522620694,10.76102907088696,11.297797965236718,1987616000
2020-08-17,12.642708778381348,12.767555823919658,11.77924469423888,11.813134791399449,3668628000
2020-08-24,13.10546588897705,13.10571494807348,12.46727476894834,12.842314990846523,1955648000
2020-08-31,12.581904411315918,14.679386756447153,11.667105686716269,13.140351887234504,4294980000
2020-09-07,12.129007339477539,13.027129341359663,11.670100330025683,11.70026166509294,2867540000
2020-09-14,12.153681755065918,13.27614640524264,11.953767278196814,13.042829962853432,3976656000
2020-09-21,12.836186408996582,12.845908325364043,11.869764782864456,11.89020515006271,3333764000
