Category: All categories

Week,Artificial intelligence: (Worldwide),NVIDIA: (Worldwide),Graphics processing unit: (Worldwide),Graphics card: (Worldwide),ChatGPT: (Worldwide)
2023-09-24,19,2,1,2,32
2023-10-01,22,2,1,2,32
2023-10-08,22,2,1,2,31
2023-10-15,21,2,1,1,35
2023-10-22,22,2,1,1,34
2023-10-29,22,2,1,2,32
2023-11-05,24,2,1,2,38
2023-11-12,22,3,1,2,35
2023-11-19,23,3,1,2,36
2023-11-26,23,3,1,2,38
2023-12-03,25,3,1,2,37
2023-12-10,23,3,1,2,38
2023-12-17,22,3,1,2,30
2023-12-24,18,3,1,2,23
2023-12-31,20,3,1,2,26
2024-01-07,23,3,1,2,34
2024-01-14,24,3,1,2,31
2024-01-21,25,3,1,2,33
2024-01-28,25,3,1,2,33
2024-02-04,24,4,1,2,35
2024-02-11,25,4,1,2,36
2024-02-18,27,7,2,2,38
2024-02-25,26,5,1,2,39
2024-03-03,26,5,1,2,40
2024-03-10,26,5,1,1,39
2024-03-17,26,5,2,1,40
2024-03-24,25,4,1,2,36
2024-03-31,25,3,1,1,37
2024-04-07,24,3,1,1,39
2024-04-14,25,3,1,1,42
2024-04-21,27,3,1,1,45
2024-04-28,25,3,1,1,43
2024-05-05,26,3,1,1,44
2024-05-12,27,3,1,1,51
2024-05-19,26,6,1,1,49
2024-05-26,28,5,1,1,51
2024-06-02,28,7,1,1,52
2024-06-09,26,6,1,1,43
2024-06-16,25,7,1,1,43
2024-06-23,25,6,1,1,39
2024-06-30,24,4,1,1,36
2024-07-07,24,4,1,1,35
2024-07-14,25,5,1,1,37
2024-07-21,24,4,1,1,37
2024-07-28,24,5,1,1,36
2024-08-04,24,6,1,1,38
2024-08-11,27,5,1,2,43
2024-08-18,27,5,2,2,49
2024-08-25,29,8,1,2,51
2024-09-01,29,6,1,1,53
2024-09-08,29,5,1,1,58
2024-09-15,31,4,1,1,60
2024-09-22,31,4,1,2,67
2024-09-29,29,4,1,1,64
2024-10-06,32,4,1,2,67
2024-10-13,33,4,1,1,71
2024-10-20,32,5,1,1,72
2024-10-27,32,4,1,2,68
2024-11-03,33,5,1,2,74
2024-11-10,35,5,2,2,81
2024-11-17,35,7,2,2,82
2024-11-24,34,4,2,2,75
2024-12-01,35,5,2,2,78
2024-12-08,37,5,2,2,80
2024-12-15,35,5,2,2,70
2024-12-22,30,4,2,2,54
2024-12-29,30,4,2,2,51
2025-01-05,35,7,2,2,67
2025-01-12,36,5,2,2,72
2025-01-19,37,5,2,2,76
2025-01-26,44,15,2,2,80
2025-02-02,40,7,2,2,82
2025-02-09,40,5,2,2,78
2025-02-16,40,5,2,2,84
2025-02-23,42,7,2,2,86
2025-03-02,39,6,2,2,86
2025-03-09,39,5,2,2,90
2025-03-16,43,5,2,2,94
2025-03-23,44,5,2,2,100
